rank,start_row,end_row,start_col,end_col
0,0,1795099,0,1749600
1,1795099,3539476,1749600,3499200
2,3539476,5282262,3499200,5248800
3,5282262,7025091,5248800,6998400
4,7025091,8767999,6998400,8748000
5,8767999,10510913,8748000,10497600
6,10510913,12253833,10497600,12247200
7,12253833,13996823,12247200,13996800
8,13996823,15739782,13996800,15746400
9,15739782,17482706,15746400,17496000
10,17482706,19225618,17496000,19245600
11,19225618,20968526,19245600,20995200
12,20968526,22711356,20995200,22744800
13,22711356,24454139,22744800,24494400
14,24454139,26198516,24494400,26244000
15,26198516,27993600,26244000,27993600
